"";"x"
"1";3967,53180036712
"2";4286,06024748549
"3";4442,50669554568
"4";4567,73729326295
"5";4335,91902750745
"6";4264,54118811029
"7";4534,84580749796
"8";4487,36571996421
"9";4432,95536801679
"10";4005,27094766689
"11";4289,39547199704
"12";4563,72755511135
"13";4396,60884939865
"14";4288,7900101791
"15";4290,82224967767
"16";4310,87287841765
"17";4639,20411391275
"18";4670,14521521028
"19";4324,36594151332
"20";4158,984533537
"21";4283,13929716074
"22";4295,97190763791
"23";4203,71365914226
"24";4444,78688418522
"25";4649,68460548844
"26";4731,88187446699
"27";4587,34425788481
"28";4529,93823354091
"29";4828,09614651136
"30";4654,83652144964
"31";4286,95054060641
"32";4681,97518827829
"33";4370,49457446815
"34";4266,85868282027
"35";4313,02060909774
"36";4283,99899784334
"37";4161,14925051851
"38";4537,60833553143
"39";4328,86645987039
"40";4593,31358719433
"41";4335,91208898987
"42";4568,41171167464
"43";4496,36290100856
"44";4114,13375822187
"45";4591,47647684576
"46";4694,95294180096
"47";4196,9701881298
"48";4428,68458092578
"49";4225,80230635052
"50";4556,88171512831
"51";4483,74456753245
"52";4093,79295637282
"53";4200,53522377276
"54";4534,11048967176
"55";4339,10177589851
"56";4250,5831504747
"57";4065,54553473574
"58";4640,73988095353
"59";4313,23204067012
"60";4557,24943374463
"61";4431,9617532858
"62";4178,87020802126
"63";4394,80231802256
"64";4312,76609304568
"65";4719,04057715152
"66";4372,38663274541
"67";4521,31265618935
"68";4460,65265100082
"69";4250,44119639217
"70";4714,64582741148
"71";4278,30021813849
"72";4689,94643751937
"73";4329,49091057127
"74";4812,73922933884
"75";4305,54876075209
"76";4475,11264329656
"77";4303,11683538533
"78";4296,93327744569
"79";4251,96460954731
"80";4649,66879762874
"81";4493,13193560074
"82";4506,69495639108
"83";4491,34885571789
"84";3925,77478058021
"85";4278,70448288231
"86";4386,98108268234
"87";4180,25342017917
"88";4644,19986627473
"89";4017,12682275225
"90";4344,25664351966
"91";4387,09801384756
"92";4182,9831573797
"93";4439,52980797828
"94";4739,14173482871
"95";4183,66679142088
"96";4468,07003791329
"97";4585,26264378672
"98";4649,60992692104
"99";4183,47826637882
"100";4726,23843371486
"101";4175,70818640653
"102";4608,72418669159
"103";4655,26063415452
"104";4650,05671802334
"105";4365,27178966338
"106";4646,50496552919
"107";4533,44597505729
"108";4246,49469992553
"109";4688,22158306863
"110";4588,77249577609
"111";4438,85927486691
"112";4517,74570999192
"113";4263,23980684665
"114";4651,68865314306
"115";4551,26642575319
"116";4325,62132141526
"117";4304,00879055616
"118";4055,85933870232
"119";4292,97834239267
"120";4315,36158092919
"121";4717,6184044192
"122";4201,59392294197
"123";4266,72258695286
"124";4402,38803465856
"125";4276,70996479931
"126";4389,66369925511
"127";4543,6969834562
"128";4415,89333520442
"129";4178,50771962153
"130";4702,94215852258
"131";4594,78560588105
"132";4762,29564039865
"133";4759,50420910623
"134";4606,21199704849
"135";4366,42666656577
"136";4238,84250893734
"137";4138,40002171824
"138";4483,3655178012
"139";4579,63181953914
"140";4220,55580273541
"141";4520,85003532825
"142";4719,82076981531
"143";4313,96873977226
"144";4384,8855024081
"145";4539,29043405993
"146";4400,8653866439
"147";4434,84784329173
"148";4587,57774772296
"149";4253,97543279846
"150";4183,3528907926
"151";4520,66673028866
"152";4662,41008388129
"153";4327,20962999679
"154";4468,0558385306
"155";4268,11081639039
"156";4227,82236324613
"157";4288,23819064211
"158";4140,64220517352
"159";4728,818249587
"160";4520,23820745935
"161";4397,99416858754
"162";4356,31227794653
"163";4340,70026441572
"164";4514,3301316187
"165";4289,29531766394
"166";4231,34530560072
"167";4264,83459001368
"168";4244,12588860234
"169";4617,02713974625
"170";4546,71664208843
"171";4648,44828724711
"172";4342,05547416062
"173";4517,65397854129
"174";4499,60985409323
"175";4325,8153055262
"176";4271,95686430952
"177";4382,35311736097
"178";4323,5450479753
"179";4128,02324673424
"180";4304,50296884667
"181";4301,3390454478
"182";4323,77913474807
"183";4548,78819426966
"184";4552,09945481575
"185";4160,3497293105
"186";4748,78000863337
"187";4655,36747153211
"188";5008,83888045477
"189";4410,60750496808
"190";4352,35761881436
"191";4388,50257528179
"192";4652,56670979808
"193";4641,81158610343
"194";4333,86924969749
"195";4459,07274133433
"196";4602,24354115298
"197";4756,40535034652
"198";4477,66737810652
"199";4447,39768935587
"200";4736,68675589591
