"einfuehrungsphase";"jahreszeit";"wetter";"arbeitstag";"temperatur";"windgeschwindigkeit";"luftfeuchtigkeit"
"Nein";"Frühling";"Gut";"Nein";5,39;15,57;46,11
"Ja";"Sommer";"Gut";"Nein";24,9;13,55;55,62
"Nein";"Sommer";"Nicht gut";"Ja";25,51;6,43;60,28
"Ja";"Herbst";"Nicht gut";"Ja";15,3;12,56;83,17
"Ja";"Frühling";"Gut";"Nein";16,72;9,64;52,65
"Nein";"Sommer";"Gut";"Ja";22,17;8,51;58,33
"Ja";"Herbst";"Nicht gut";"Ja";11,79;18,59;54,54
"Nein";"Herbst";"Gut";"Ja";14,27;12,76;46,16
"Nein";"Herbst";"Gut";"Ja";11,27;9,37;58,51
"Ja";"Frühling";"Schlecht";"Ja";4,98;13,45;86,77
"Nein";"Sommer";"Gut";"Ja";27,28;11,56;63,88
"Nein";"Winter";"Nicht gut";"Nein";9,27;6,7;103,14
"Ja";"Frühling";"Nicht gut";"Ja";16,03;8,19;82,95
"Nein";"Herbst";"Nicht gut";"Ja";6,14;20,95;55,16
"Ja";"Sommer";"Gut";"Ja";22,37;10,65;72,61
"Nein";"Frühling";"Gut";"Ja";23,54;10,79;76,48
"Ja";"Winter";"Nicht gut";"Ja";10,99;24,58;75,19
"Ja";"Winter";"Nicht gut";"Ja";-1,58;12,55;54,57
"Nein";"Sommer";"Gut";"Ja";25,95;6,28;67,97
"Nein";"Sommer";"Gut";"Ja";23,32;19,68;50,22
"Nein";"Sommer";"Gut";"Nein";27,15;7,99;58,43
"Nein";"Frühling";"Nicht gut";"Ja";13,45;12,31;54,57
"Nein";"Frühling";"Gut";"Ja";17,7;9,56;81,82
"Nein";"Sommer";"Gut";"Ja";32,67;13,82;40,86
"Nein";"Herbst";"Nicht gut";"Ja";18,25;7,69;65,43
"Ja";"Winter";"Nicht gut";"Ja";12,22;15,56;89,41
"Nein";"Herbst";"Gut";"Ja";15,89;4,92;56,1
"Ja";"Sommer";"Gut";"Ja";27;6,63;47,56
"Ja";"Winter";"Gut";"Ja";7,02;3,9;59,42
"Ja";"Winter";"Nicht gut";"Ja";1,22;8,1;86,51
"Ja";"Herbst";"Nicht gut";"Nein";6,36;15,18;85,48
"Ja";"Winter";"Gut";"Ja";1,81;7,26;61,02
"Nein";"Sommer";"Gut";"Ja";29,03;13,02;46,18
"Nein";"Sommer";"Gut";"Ja";24,39;8,9;66,17
"Nein";"Frühling";"Nicht gut";"Ja";14,3;11,06;58,49
"Ja";"Frühling";"Nicht gut";"Nein";17,47;10,47;90,28
"Ja";"Frühling";"Nicht gut";"Ja";6,26;18,03;63,79
"Ja";"Herbst";"Gut";"Ja";10,85;5,35;72,29
"Nein";"Sommer";"Gut";"Ja";27,16;11,73;52,89
"Ja";"Winter";"Gut";"Ja";5,9;15,69;71,37
"Nein";"Sommer";"Gut";"Nein";29,51;9,39;50,71
"Nein";"Winter";"Gut";"Ja";7,58;8,14;84,2
"Ja";"Sommer";"Gut";"Ja";30,91;9,1;64,46
"Nein";"Frühling";"Nicht gut";"Nein";15,02;12,86;85,89
"Ja";"Winter";"Gut";"Nein";6,64;7,38;85,44
"Ja";"Winter";"Nicht gut";"Ja";6,12;16,94;66,82
"Nein";"Frühling";"Nicht gut";"Ja";7,48;10,19;60,45
"Nein";"Winter";"Nicht gut";"Nein";0,55;12,61;77,45
"Nein";"Frühling";"Nicht gut";"Ja";17,48;15,26;79,44
"Ja";"Herbst";"Gut";"Ja";11,56;5,85;68,84
"Ja";"Sommer";"Gut";"Ja";28,8;9,65;56,35
"Nein";"Frühling";"Gut";"Ja";10,31;20,9;36,5
"Nein";"Sommer";"Gut";"Ja";29,35;20,18;64,69
"Nein";"Winter";"Nicht gut";"Ja";6,32;26,18;47,62
"Ja";"Frühling";"Gut";"Ja";17,22;15,93;50,87
"Nein";"Frühling";"Nicht gut";"Nein";21,04;11;84,97
"Nein";"Sommer";"Gut";"Nein";20,04;12,43;65,67
"Ja";"Herbst";"Nicht gut";"Ja";15,19;11,73;67,39
"Ja";"Frühling";"Gut";"Ja";16,17;17,31;47,81
"Ja";"Herbst";"Gut";"Nein";16,35;3,97;77,47
"Ja";"Sommer";"Gut";"Ja";23,46;8,45;49,96
"Nein";"Frühling";"Gut";"Nein";20,73;18,29;51,41
"Ja";"Frühling";"Gut";"Ja";22,9;16,82;58,88
"Nein";"Herbst";"Gut";"Nein";14,86;11,62;77,33
"Ja";"Winter";"Gut";"Ja";8,18;18,21;41,11
"Ja";"Herbst";"Gut";"Ja";7,49;18,08;53,65
"Ja";"Herbst";"Gut";"Ja";9,72;6,5;67,3
"Ja";"Sommer";"Nicht gut";"Nein";25,31;5,55;66,44
"Nein";"Sommer";"Gut";"Ja";24,17;10,6;63,28
"Ja";"Winter";"Nicht gut";"Ja";3,09;13,29;61,45
"Nein";"Frühling";"Gut";"Ja";15,9;15,21;35,24
"Ja";"Winter";"Gut";"Nein";7,08;5,62;69,02
"Ja";"Herbst";"Gut";"Nein";11;14,49;73,49
"Ja";"Winter";"Gut";"Ja";17,32;19,05;55,08
"Ja";"Frühling";"Nicht gut";"Nein";13,44;6,99;79,43
"Ja";"Sommer";"Gut";"Nein";31,78;9,19;54,21
"Nein";"Sommer";"Nicht gut";"Ja";25,58;13,5;70,37
"Nein";"Herbst";"Gut";"Ja";9,22;17,68;54,01
"Nein";"Sommer";"Gut";"Nein";28,86;10,68;64,24
"Nein";"Herbst";"Nicht gut";"Nein";24,23;5,29;81,25
"Ja";"Herbst";"Nicht gut";"Nein";13,78;12,55;76,05
"Ja";"Sommer";"Gut";"Ja";25,49;8,83;38,91
"Ja";"Winter";"Gut";"Ja";0,96;20,48;58,07
"Nein";"Sommer";"Schlecht";"Nein";19,49;14,1;90,01
"Ja";"Herbst";"Gut";"Ja";14,04;28,18;70,2
"Nein";"Frühling";"Gut";"Nein";20,57;5,06;45,57
"Ja";"Frühling";"Nicht gut";"Ja";13,56;26,56;61,04
"Ja";"Winter";"Gut";"Ja";7,35;19,89;50,19
"Nein";"Frühling";"Gut";"Ja";3,67;14,46;49,14
"Nein";"Frühling";"Gut";"Ja";15,29;7,58;43,09
"Nein";"Herbst";"Gut";"Nein";13,37;9,84;58,49
"Nein";"Sommer";"Gut";"Nein";26,31;14,42;56,97
"Ja";"Sommer";"Gut";"Ja";26,99;19,05;26,12
"Ja";"Winter";"Gut";"Ja";2,55;7,96;47,53
"Nein";"Sommer";"Gut";"Ja";22,64;16,58;52,03
"Ja";"Herbst";"Gut";"Nein";7,92;3,14;65,47
"Nein";"Winter";"Gut";"Nein";6,61;12,19;42,29
"Nein";"Winter";"Gut";"Ja";7,06;9,35;57,34
"Nein";"Sommer";"Gut";"Nein";29,02;17,34;58,47
"Nein";"Winter";"Nicht gut";"Ja";10,53;7;86,13
"Nein";"Frühling";"Gut";"Ja";14,33;20,56;34,99
"Ja";"Sommer";"Nicht gut";"Ja";30,92;11,21;53,26
"Ja";"Winter";"Nicht gut";"Nein";2,99;14,92;50,99
"Ja";"Winter";"Nicht gut";"Ja";3,99;14,02;78,97
"Ja";"Sommer";"Gut";"Ja";26,8;9,93;76,12
"Ja";"Herbst";"Nicht gut";"Ja";16,7;15,18;60,4
"Ja";"Herbst";"Gut";"Ja";13,94;8,9;74,4
"Nein";"Sommer";"Gut";"Nein";27,26;12,11;53,48
"Nein";"Herbst";"Nicht gut";"Nein";27,43;8,52;74,31
"Ja";"Winter";"Gut";"Nein";3,05;12,85;50,9
"Nein";"Frühling";"Nicht gut";"Ja";20,68;6,24;72,29
"Nein";"Herbst";"Gut";"Ja";18,33;13,6;53,52
"Nein";"Sommer";"Gut";"Ja";26,29;14,32;56,27
"Ja";"Winter";"Gut";"Ja";-3,04;9,47;39,35
"Ja";"Herbst";"Gut";"Nein";16,77;4,91;77,49
"Ja";"Frühling";"Nicht gut";"Ja";20,97;22,33;72,42
"Ja";"Sommer";"Nicht gut";"Ja";22,97;14,71;81,88
"Nein";"Frühling";"Gut";"Ja";10,48;20,65;47,61
"Ja";"Herbst";"Gut";"Nein";8,42;20,39;50,33
"Nein";"Herbst";"Nicht gut";"Nein";9,76;17,98;55,94
"Ja";"Herbst";"Nicht gut";"Ja";18,88;5,29;87,28
"Ja";"Frühling";"Nicht gut";"Ja";8,01;15,54;70,23
"Ja";"Sommer";"Gut";"Nein";27,74;14,32;70,26
"Nein";"Herbst";"Nicht gut";"Ja";7,3;9,5;72,45
"Ja";"Frühling";"Gut";"Ja";17,53;13,27;77,24
"Ja";"Herbst";"Schlecht";"Ja";12,69;8,41;104,3
"Ja";"Herbst";"Nicht gut";"Nein";13,55;10,6;69,31
"Ja";"Frühling";"Nicht gut";"Ja";17,89;11,6;74,27
"Nein";"Sommer";"Gut";"Nein";22,67;12,33;49,42
"Nein";"Winter";"Gut";"Ja";8;12,27;37,83
"Ja";"Winter";"Gut";"Nein";6;15,31;53,71
"Ja";"Winter";"Gut";"Ja";6,38;5,6;67,01
"Ja";"Herbst";"Nicht gut";"Ja";22,88;8,74;82,26
"Nein";"Winter";"Gut";"Ja";12,22;15,65;68,65
"Ja";"Herbst";"Gut";"Nein";5,86;12,17;49,79
"Nein";"Sommer";"Gut";"Nein";23,71;7,34;56,61
"Nein";"Sommer";"Gut";"Nein";30,33;19,34;68,43
"Ja";"Herbst";"Schlecht";"Ja";13,87;8,55;85,61
"Ja";"Herbst";"Nicht gut";"Ja";9,94;6,64;77,5
"Ja";"Frühling";"Nicht gut";"Nein";4,47;12,43;41,8
"Nein";"Winter";"Gut";"Ja";5,06;13,66;65,41
