"einfuehrungsphase";"jahreszeit";"wetter";"arbeitstag";"temperatur";"windgeschwindigkeit";"luftfeuchtigkeit";"vermietungen"
"Nein";"Sommer";"Nicht gut";"Ja";23,69;15,19;73,61;4127
"Nein";"Sommer";"Gut";"Ja";26,48;10,24;44,02;8173
"Nein";"Winter";"Gut";"Ja";4,6;10,24;58,51;3783
"Nein";"Frühling";"Gut";"Ja";12,94;25,82;50,01;5557
"Ja";"Herbst";"Nicht gut";"Nein";23,82;11,9;82,32;3350
"Ja";"Sommer";"Nicht gut";"Ja";22,99;8,38;68,01;4709
"Ja";"Frühling";"Gut";"Ja";12,93;16,6;53;4609
"Ja";"Herbst";"Gut";"Nein";18,16;1,49;70,82;5117
"Ja";"Frühling";"Gut";"Ja";4,74;13,25;53,06;1851
"Nein";"Winter";"Gut";"Nein";1,14;13,67;38,37;2494
"Nein";"Sommer";"Gut";"Ja";29,04;8,66;48,5;6787
"Nein";"Sommer";"Gut";"Ja";26,73;11,75;49,94;7286
"Nein";"Frühling";"Gut";"Ja";14,49;15,7;46,15;5918
"Nein";"Sommer";"Gut";"Nein";18,88;12,12;59,99;8121
"Ja";"Winter";"Gut";"Nein";5,59;13,51;47,49;1813
"Nein";"Frühling";"Gut";"Ja";14,9;7,48;32,93;6773
"Nein";"Sommer";"Gut";"Ja";25;11,42;43,83;7736
"Ja";"Frühling";"Gut";"Ja";4,45;14,3;28,54;2030
"Nein";"Sommer";"Nicht gut";"Ja";25,41;13,5;91,14;4973
"Ja";"Sommer";"Gut";"Ja";26,01;9,58;57,75;4585
"Nein";"Sommer";"Gut";"Nein";28,11;8,11;48,28;6597
"Ja";"Frühling";"Nicht gut";"Nein";10,72;18,33;70,52;2076
"Nein";"Herbst";"Gut";"Ja";19;11,23;72,64;8168
"Nein";"Winter";"Nicht gut";"Nein";3,6;11,27;64,04;2947
"Ja";"Winter";"Gut";"Ja";12,83;14,79;45,04;2472
"Ja";"Frühling";"Nicht gut";"Ja";11,14;17,91;75,99;2161
"Ja";"Herbst";"Gut";"Nein";8,67;6,57;77,93;3649
"Nein";"Sommer";"Nicht gut";"Nein";23,9;4,27;64,77;4551
